timestamp,osc_address,osc_type,osc_data
1755587770808,/eeg,ffffff,"366.26373,49.56044,785.7143,326.77655,NaN,NaN"
1755587770808,/eeg,ffffff,"298.1685,139.41393,876.3736,223.62637,NaN,NaN"
1755587770809,/eeg,ffffff,"240.14651,400.51282,1175.348,141.42857,NaN,NaN"
1755587770809,/eeg,ffffff,"99.12088,401.72162,1136.6666,43.516483,NaN,NaN"
1755587770809,/eeg,ffffff,"0.0,199.85349,1135.0549,0.0,NaN,NaN"
1755587770833,/acc,fff,"0.08807373,0.2000122,1.0292358"
1755587770834,/acc,fff,"0.089416504,0.21343994,1.0065918"
1755587770835,/acc,fff,"0.06774902,0.21411133,0.9949341"
1755587770859,/eeg,ffffff,"1.6117216,322.74725,1199.5238,2.014652,NaN,NaN"
1755587770859,/eeg,ffffff,"1.6117216,673.2967,1254.7252,0.4029304,NaN,NaN"
1755587770859,/eeg,ffffff,"0.0,685.78754,1261.978,0.0,NaN,NaN"
1755587770859,/eeg,ffffff,"0.0,460.9524,1230.5494,0.0,NaN,NaN"
1755587770860,/eeg,ffffff,"0.0,683.36993,1262.7839,0.0,NaN,NaN"
1755587770862,/eeg,ffffff,"0.0,1160.8425,1327.6556,0.0,NaN,NaN"
1755587770862,/eeg,ffffff,"0.0,1295.0183,1326.4469,0.0,NaN,NaN"
1755587770863,/eeg,ffffff,"0.0,1155.6044,1311.9414,0.0,NaN,NaN"
1755587770863,/eeg,ffffff,"0.0,1454.1758,1351.4286,0.0,NaN,NaN"
1755587770864,/eeg,ffffff,"0.0,1650.0,1387.6923,0.0,NaN,NaN"
1755587770865,/eeg,ffffff,"0.0,1559.7435,1338.1318,0.0,NaN,NaN"
1755587770865,/eeg,ffffff,"3.2234433,1591.978,1319.597,0.0,NaN,NaN"
1755587770888,/ppg,fff,"NaN,1.26503224E8,NaN"
1755587770888,/ppg,fff,"NaN,1.2648388E8,NaN"
1755587770889,/ppg,fff,"NaN,1.26469376E8,NaN"
1755587770889,/ppg,fff,"NaN,1.26387984E8,NaN"
1755587770889,/ppg,fff,"NaN,1.26177656E8,NaN"
1755587770889,/ppg,fff,"NaN,1.26004392E8,NaN"
1755587770890,/eeg,ffffff,"0.0,1630.2565,1346.9963,0.0,NaN,NaN"
1755587770890,/eeg,ffffff,"19.34066,1619.7803,1336.9231,0.0,NaN,NaN"
1755587770897,/eeg,ffffff,"121.68498,1623.8096,1340.1465,1.2087913,NaN,NaN"
1755587770897,/eeg,ffffff,"120.87912,1624.2124,1339.3407,12.490843,NaN,NaN"
1755587770898,/eeg,ffffff,"104.35897,1619.3773,1286.5568,66.08059,NaN,NaN"
1755587770898,/eeg,ffffff,"230.87912,1625.4213,1263.9927,167.21611,NaN,NaN"
1755587770898,/eeg,ffffff,"346.11722,1596.8132,1229.7435,247.8022,NaN,NaN"
1755587770898,/eeg,ffffff,"399.70697,1598.022,1261.978,290.1099,NaN,NaN"
1755587770898,/eeg,ffffff,"415.8242,1631.0623,1301.8682,319.92673,NaN,NaN"
1755587770898,/eeg,ffffff,"449.67032,1617.3627,1219.6703,373.51648,NaN,NaN"
1755587770898,/eeg,ffffff,"510.1099,1605.2748,1215.238,429.5238,NaN,NaN"
1755587770898,/eeg,ffffff,"571.3553,1620.1831,1273.663,484.72528,NaN,NaN"
1755587770898,/acc,fff,"0.033996582,0.20928955,0.98168945"
1755587770898,/acc,fff,"0.0073242188,0.19177246,0.9677124"
1755587770898,/acc,fff,"-0.012023926,0.18676758,0.95214844"
1755587770943,/eeg,ffffff,"589.4872,1625.8242,1246.2638,525.42126,NaN,NaN"
1755587770947,/eeg,ffffff,"629.7802,1618.1685,1168.4982,572.1612,NaN,NaN"
1755587770947,/eeg,ffffff,"717.619,1615.751,1197.1062,642.674,NaN,NaN"
1755587770947,/eeg,ffffff,"776.04395,1606.8865,1224.9084,692.6374,NaN,NaN"
1755587770947,/eeg,ffffff,"782.0879,1649.1941,1194.2858,713.1868,NaN,NaN"
