0,1,2,3,4,5,6,7
23.0,-33.203125,-62.98828125,-23.92578125,-57.6171875,0.0,1755739232.5981343,0.0
23.0,-26.85546875,-50.29296875,-39.55078125,-52.734375,0.0,1755739232.601944,0.0
23.0,0.0,-68.359375,-39.55078125,-16.6015625,0.0,1755739232.605754,0.0
23.0,12.6953125,-68.359375,-44.921875,-0.48828125,0.0,1755739232.6095638,0.0
23.0,-2.9296875,-47.36328125,-42.96875,-16.6015625,0.0,1755739232.6133735,0.0
23.0,-16.11328125,-52.734375,-39.0625,-23.4375,0.0,1755739232.6171834,0.0
23.0,15.13671875,-65.4296875,-40.0390625,-1.953125,0.0,1755739232.6209934,0.0
23.0,34.66796875,-41.015625,-32.71484375,12.20703125,0.0,1755739232.624803,0.0
23.0,18.06640625,-41.9921875,-24.4140625,7.32421875,0.0,1755739232.628613,0.0
24.0,10.7421875,-61.03515625,-22.4609375,-6.34765625,0.0,1755739232.632372,0.0
24.0,30.76171875,-49.8046875,-18.06640625,-8.7890625,0.0,1755739232.6361306,0.0
24.0,43.9453125,-58.10546875,-17.08984375,6.34765625,0.0,1755739232.6398892,0.0
24.0,10.25390625,-60.05859375,-24.4140625,-2.44140625,0.0,1755739232.6436481,0.0
24.0,1.46484375,-78.61328125,-25.87890625,-10.7421875,0.0,1755739232.647407,0.0
24.0,21.484375,-110.83984375,-18.06640625,-4.8828125,0.0,1755739232.6511657,0.0
24.0,32.2265625,-79.1015625,-4.8828125,-2.9296875,0.0,1755739232.6549244,0.0
24.0,9.27734375,-39.55078125,-15.625,-14.6484375,0.0,1755739232.6586833,0.0
24.0,-21.484375,-25.390625,-31.73828125,-33.69140625,0.0,1755739232.6624422,0.0
24.0,-19.04296875,-23.92578125,-20.99609375,-43.45703125,0.0,1755739232.6662009,0.0
24.0,1.46484375,-28.3203125,-1.46484375,-26.85546875,0.0,1755739232.6699595,0.0
24.0,3.90625,-35.64453125,-5.859375,-14.6484375,0.0,1755739232.6737185,0.0
25.0,-16.6015625,-60.546875,-15.13671875,-39.0625,0.0,1755739232.6774387,0.0
25.0,-28.80859375,-87.890625,-9.27734375,-47.8515625,0.0,1755739232.6811588,0.0
25.0,-17.08984375,-103.02734375,-23.92578125,-39.0625,0.0,1755739232.684879,0.0
25.0,5.859375,-77.63671875,-38.0859375,-27.34375,0.0,1755739232.6885993,0.0
25.0,-19.53125,-48.828125,-28.3203125,-26.3671875,0.0,1755739232.6923194,0.0
25.0,-50.29296875,-47.36328125,-22.94921875,-52.24609375,0.0,1755739232.6960397,0.0
25.0,-28.80859375,-44.921875,-30.2734375,-54.19921875,0.0,1755739232.69976,0.0
25.0,-6.8359375,-57.12890625,-30.76171875,-28.80859375,0.0,1755739232.70348,0.0
25.0,-4.39453125,-43.9453125,-7.8125,-10.25390625,0.0,1755739232.7072003,0.0
25.0,-16.11328125,-30.76171875,3.41796875,-19.53125,0.0,1755739232.7109206,0.0
25.0,-14.16015625,-44.921875,4.8828125,-37.109375,0.0,1755739232.7146406,0.0
25.0,-12.6953125,-73.73046875,9.27734375,-33.203125,0.0,1755739232.718361,0.0
26.0,-26.85546875,-62.98828125,0.9765625,-35.64453125,0.0,1755739232.7231967,0.0
26.0,-50.78125,-35.15625,-8.7890625,-56.640625,0.0,1755739232.7280326,0.0
26.0,-49.8046875,-26.3671875,-10.25390625,-59.08203125,0.0,1755739232.7328682,0.0
26.0,-27.83203125,-39.55078125,-5.37109375,-36.1328125,0.0,1755739232.737704,0.0
26.0,-28.80859375,-52.734375,-3.41796875,-35.15625,0.0,1755739232.74254,0.0
26.0,-41.015625,-60.05859375,-21.484375,-52.734375,0.0,1755739232.7473755,0.0
26.0,-41.9921875,-67.3828125,-22.4609375,-49.31640625,0.0,1755739232.7522113,0.0
26.0,-30.76171875,-57.12890625,-15.13671875,-26.85546875,0.0,1755739232.7570472,0.0
26.0,-23.4375,-38.57421875,-10.7421875,-22.94921875,0.0,1755739232.761883,0.0
26.0,-35.64453125,-24.4140625,-11.71875,-46.875,0.0,1755739232.7667189,0.0
26.0,-44.43359375,-37.109375,-20.01953125,-57.12890625,0.0,1755739232.7715545,0.0
26.0,-34.66796875,-68.84765625,-10.25390625,-49.8046875,0.0,1755739232.7763903,0.0
27.0,-24.4140625,-67.87109375,-7.8125,-45.8984375,0.0,1755739232.7790701,0.0
27.0,-41.50390625,-49.8046875,-20.01953125,-60.546875,0.0,1755739232.7817497,0.0
27.0,-47.36328125,-49.31640625,-20.01953125,-71.2890625,0.0,1755739232.7844296,0.0
27.0,-29.78515625,-51.7578125,-18.06640625,-76.171875,0.0,1755739232.7871094,0.0
