timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755583558.2408810,,,,,,,-0.11505127,0.16619873,0.98968506,,,,,,
1755583558.2451935,838.49817,843.3333,449.2674,822.381,nan,nan,,,,,,,,,
1755583558.2508445,785.31134,833.2601,463.7729,803.0403,nan,nan,,,,,,,,,
1755583558.2564957,753.8828,842.9304,458.93774,827.619,nan,nan,,,,,,,,,
1755583558.2621469,797.8022,832.0513,480.69598,855.42126,nan,nan,,,,,,,,,
1755583558.2676840,,,,,,,-0.11199951,0.16400146,0.98651123,,,,,,
1755583558.2677979,847.3626,765.56775,445.2381,842.9304,nan,nan,,,,,,,,,
1755583558.2734492,824.3956,645.89746,373.11356,820.3663,nan,nan,,,,,,,,,
1755583558.2736115,,,,,,,,,,1603663.0,1599633.8,,,,
1755583558.2791004,772.8205,549.19415,356.5934,835.2747,nan,nan,,,,,,,,,
1755583558.2847514,786.52014,558.86444,352.16116,869.12085,nan,nan,,,,,,,,,
1755583558.2904027,843.3333,388.02197,337.65567,848.1685,nan,nan,,,,,,,,,
1755583558.2944868,,,,,,,-0.17443848,0.14758301,1.0025024,,,,,,
1755583558.2960539,813.91943,613.2601,422.67398,771.6117,nan,nan,,,,,,,,,
1755583558.3017049,765.9707,849.3773,396.48352,787.326,nan,nan,,,,,,,,,
1755583558.3073561,788.93774,545.9707,253.0403,869.5238,nan,nan,,,,,,,,,
1755583558.3130074,842.1245,519.3773,257.47253,874.35895,nan,nan,,,,,,,,,
1755583558.3186586,836.08057,854.61536,421.4652,796.99634,nan,nan,,,,,,,,,
1755583558.3212898,,,,,,,-0.22631836,0.1307373,0.99902344,,,,,,
1755583558.3243096,790.9524,881.6117,365.8608,780.87915,nan,nan,,,,,,,,,
1755583558.3286278,,,,,,,,,,1603663.0,1599633.8,,,,
1755583558.3299608,779.67035,557.6557,268.75458,837.28937,nan,nan,,,,,,,,,
1755583558.3356121,834.87177,653.1502,344.10257,856.63007,nan,nan,,,,,,,,,
1755583558.3412631,878.3883,779.67035,354.1758,834.87177,nan,nan,,,,,,,,,
1755583558.3469143,812.71063,780.07324,348.13187,797.8022,nan,nan,,,,,,,,,
1755583558.3480928,,,,,,,-0.21264648,0.14276123,0.97698975,,,,,,
1755583558.3525655,785.7143,476.26373,230.87912,838.0952,nan,nan,,,,,,,,,
1755583558.3582165,807.0696,373.51648,233.2967,878.3883,nan,nan,,,,,,,,,
1755583558.3638678,824.3956,1050.4396,468.20514,829.2308,nan,nan,,,,,,,,,
1755583558.3695190,828.4249,1062.9304,415.8242,806.26373,nan,nan,,,,,,,,,
1755583558.3748956,,,,,,,-0.19830322,0.14794922,0.96588135,,,,,,
1755583558.3751700,770.0,807.0696,351.35532,821.5751,nan,nan,,,,,,,,,
1755583558.3808212,767.98535,866.30035,413.8095,854.21246,nan,nan,,,,,,,,,
1755583558.3836439,,,,,,,,,,1603663.0,1598827.9,,,,
1755583558.3864725,823.1868,974.2857,447.65567,838.9011,nan,nan,,,,,,,,,
1755583558.3921235,828.022,885.64105,416.63004,809.0842,nan,nan,,,,,,,,,
1755583558.3977747,770.80585,736.1539,383.1868,812.3077,nan,nan,,,,,,,,,
1755583558.4016986,,,,,,,-0.24816895,0.12249756,0.99591064,,,,,,
1755583558.4034259,754.68866,847.76556,406.55676,841.7216,nan,nan,,,,,,,,,
1755583558.4090769,810.293,964.61536,431.13553,862.27106,nan,nan,,,,,,,,,
