timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755585013.4670901,,,,,,,-0.34674072,0.109069824,0.9802246,,,,,,
1755585013.4670935,814.3223,834.4689,904.57874,805.05493,nan,nan,,,,,,,,,
1755585013.4710045,799.81683,836.08057,912.23444,825.2015,nan,nan,,,,,,,,,
1755585013.4743013,,,,,,,,,,,,,nan,115242930.0,nan
1755585013.4749157,814.3223,836.08057,916.26373,839.304,nan,nan,,,,,,,,,
1755585013.4788268,809.0842,828.022,904.17584,826.4103,nan,nan,,,,,,,,,
1755585013.4827378,791.3553,821.978,901.3553,822.381,nan,nan,,,,,,,,,
1755585013.4865491,,,,,,,-0.35101318,0.093933105,0.9888916,,,,,,
1755585013.4866488,792.1612,837.28937,914.2491,839.707,nan,nan,,,,,,,,,
1755585013.4899471,,,,,,,,,,,,,nan,115259860.0,nan
1755585013.4905598,812.3077,840.9158,915.8608,845.7509,nan,nan,,,,,,,,,
1755585013.4931955,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.4944708,810.293,822.7839,902.96704,821.5751,nan,nan,,,,,,,,,
1755585013.4983821,807.0696,826.4103,907.3993,811.0989,nan,nan,,,,,,,,,
1755585013.5022931,809.0842,840.10986,921.0989,839.707,nan,nan,,,,,,,,,
1755585013.5055926,,,,,,,,,,,,,nan,115282420.0,nan
1755585013.5060079,,,,,,,-0.3270874,0.0881958,0.97180176,,,,,,
1755585013.5062041,798.20514,836.8865,916.6667,846.1539,nan,nan,,,,,,,,,
1755585013.5101151,796.1905,823.9927,902.96704,823.9927,nan,nan,,,,,,,,,
1755585013.5140262,810.696,829.2308,911.02563,835.6777,nan,nan,,,,,,,,,
1755585013.5179374,804.2491,835.6777,917.0696,852.6007,nan,nan,,,,,,,,,
1755585013.5212383,,,,,,,,,,,,,nan,115273550.0,nan
1755585013.5218484,788.93774,830.84247,911.8315,864.68866,nan,nan,,,,,,,,,
1755585013.5254667,,,,,,,-0.2929077,0.0970459,0.9402466,,,,,,
1755585013.5257595,789.34064,827.2161,908.60803,851.79486,nan,nan,,,,,,,,,
1755585013.5284050,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.5296705,804.2491,832.0513,911.4286,839.304,nan,nan,,,,,,,,,
1755585013.5335815,794.17584,835.2747,915.4579,837.28937,nan,nan,,,,,,,,,
1755585013.5368838,,,,,,,,,,,,,nan,115288860.0,nan
1755585013.5374928,772.01465,829.2308,915.8608,814.3223,nan,nan,,,,,,,,,
1755585013.5414038,790.9524,824.7985,906.5934,801.02563,nan,nan,,,,,,,,,
1755585013.5449257,,,,,,,-0.27642822,0.08557129,0.9510498,,,,,,
1755585013.5453148,818.3516,838.9011,913.8461,830.4396,nan,nan,,,,,,,,,
1755585013.5492258,807.47253,844.1392,921.0989,832.4542,nan,nan,,,,,,,,,
1755585013.5525296,,,,,,,,,,,,,nan,115301760.0,nan
1755585013.5531368,773.6264,833.2601,913.0403,821.1722,nan,nan,,,,,,,,,
1755585013.5570481,782.0879,831.6484,913.8461,839.707,nan,nan,,,,,,,,,
1755585013.5609591,816.7399,839.707,919.4872,844.5421,nan,nan,,,,,,,,,
1755585013.5636144,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.5643845,,,,,,,-0.26654053,0.082214355,0.9557495,,,,,,
1755585013.5648701,815.12823,837.6923,915.05493,819.5604,nan,nan,,,,,,,,,
1755585013.5681753,,,,,,,,,,,,,nan,115328350.0,nan
1755585013.5687811,796.99634,834.87177,911.02563,811.50183,nan,nan,,,,,,,,,
1755585013.5726922,783.69965,828.022,909.81683,817.9487,nan,nan,,,,,,,,,
1755585013.5766034,819.5604,835.6777,917.0696,847.76556,nan,nan,,,,,,,,,
1755585013.5805144,833.2601,838.0952,924.3223,852.6007,nan,nan,,,,,,,,,
1755585013.5838208,,,,,,,,,,,,,nan,115316264.0,nan
1755585013.5838432,,,,,,,-0.26055908,0.08380127,0.9595337,,,,,,
1755585013.5844254,794.57874,824.7985,913.44324,803.8461,nan,nan,,,,,,,,,
1755585013.5883365,797.3993,831.6484,915.8608,803.44324,nan,nan,,,,,,,,,
1755585013.5922475,807.8755,832.4542,923.5165,817.1429,nan,nan,,,,,,,,,
1755585013.5961585,817.1429,828.8278,917.8755,814.7253,nan,nan,,,,,,,,,
1755585013.5988238,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.5994666,,,,,,,,,,,,,nan,115373480.0,nan
1755585013.6000698,807.8755,826.8132,912.23444,808.2784,nan,nan,,,,,,,,,
1755585013.6033020,,,,,,,-0.25152588,0.091552734,0.9569092,,,,,,
1755585013.6039808,799.41394,826.4103,920.293,823.9927,nan,nan,,,,,,,,,
1755585013.6078918,812.3077,829.6337,919.0842,828.8278,nan,nan,,,,,,,,,
